Lat,Long,impact
15,101,147
36,138,825
1.2833,103.8333,243
28.1667,84.25,1
2.5,112.5,566
49.2827,-123.1207,103
-33.8688,151.2093,171
-37.8136,144.9631,71
-28.0167,153.4,68
11.55,104.9167,7
7,81,28
51,9,7272
64,26,277
24,54,98
13,122,142
21,78,119
43,12,27980
63,16,1103
40,-4,9942
-34.9285,138.6007,29
50.8333,4,1058
26,30,150
35.4437,139.638,0
33.8547,35.8623,99
33,44,124
21,57,22
33,65,21
26.0275,50.55,214
29.5,47.75,123
28.0339,1.6596,54
45.1,15.2,57
46.8182,8.2275,2200
47.5162,14.5501,1018
31,35,255
30.3753,69.3451,136
-14.235,-51.9253,200
42.3154,43.3569,33
39.0742,21.8243,331
41.6086,21.7453,18
60.472,8.4689,1333
45.9432,24.9668,158
58.5953,25.0136,205
43.9424,12.4578,109
53.7098,27.9534,36
64.9631,-19.0208,180
55.1694,23.8813,17
23.6345,-102.5528,53
-40.9006,174.886,8
9.082,8.6753,2
-31.9505,115.8605,28
53.1424,-7.6921,169
49.8153,6.1296,77
43.7333,7.4167,7
25.3548,51.1839,439
-1.8312,-78.1834,37
40.1431,47.5769,15
40.0691,45.0382,52
18.7357,-70.1627,11
-0.7893,113.9213,134
39.3999,-8.2245,331
42.5063,1.5218,2
-41.4545,145.9707,7
56.8796,24.6032,34
31.7917,-7.0926,29
24,45,118
14.4974,-14.4524,24
-38.4161,-63.6167,56
-35.6751,-71.543,155
31.24,36.51,17
48.3794,31.1656,7
47.1625,19.5033,39
-12.4634,130.8456,1
47.14,9.55,4
51.9194,19.1451,177
34,9,20
43.9159,17.6791,25
46.1512,14.9955,253
-30.5595,22.9375,62
27.5142,90.4336,1
3.848,11.5021,4
4.5709,-74.2973,54
9.7489,-83.7534,35
-9.19,-75.0152,86
44.0165,21.0059,55
48.669,19.699,63
8.6195,0.8248,1
35.9375,14.3754,30
14.6415,-61.0242,15
42.7339,25.4858,52
3.2028,73.2207,13
23.685,90.3563,8
-23.4425,-58.4438,8
51.2538,-85.3232,177
53.9333,-116.5765,56
52.9399,-73.5491,50
41.1533,20.1683,51
35.1264,33.4299,33
4.5353,114.7277,54
47.4009,-121.4905,904
42.1657,-74.9481,967
36.1162,-119.6816,557
42.2302,-71.5301,197
35.4437,139.638,47
37.6489,-122.6655,20
33.0406,-83.6431,121
39.0598,-105.3111,160
27.7663,-81.6868,155
40.2989,-74.521,178
44.572,-122.0709,39
31.0545,-97.5635,85
40.3495,-88.9861,105
40.5908,-77.2098,77
42.0115,-93.2105,23
39.0639,-76.8021,41
35.6301,-79.8064,38
33.8569,-80.945,33
35.7478,-86.6923,52
37.7693,-78.17,49
33.7298,-111.4312,18
39.8494,-86.2583,25
37.6681,-84.6701,21
38.8974,-77.0268,22
38.3135,-117.0554,45
43.4525,-71.5639,17
45.6945,-93.9002,54
41.1254,-98.2681,18
40.3888,-82.7649,50
41.6809,-71.5118,21
44.2685,-89.6165,47
41.5978,-72.7554,30
21.0943,-157.4983,7
